regulator,coef_tumor,sem_tumor
FANCL,0.0019458164021571,0.0002418414681984
MCM8,0.001944575377529,0.0001661888852101
CITED2,0.0019417659042787,8.901595507250626e-05
PDS5B,0.0019369415349872,0.0002247722527522
FAM118A,0.0019358122566843,0.0001550034076625
JAKMIP2,0.0019315659393768,0.0002626490827193
ALS2,0.0019231405097836,0.0002377918577882
PPP1R18,0.0019218650977676,0.0003368101286509
C1orf159,0.0019192424845401,0.000408217099933
DPY19L4,0.001918959051281,0.0002749522421271
ADPRS,0.0019185129084133,0.0002383982203252
RBM41,0.001917089066569,0.0001812077990425
MED13,0.0019149894754705,0.0002637728150021
AKAP10,0.0019124371595353,0.0002222873418219
FAM3C,0.0019095884777021,0.0002013144405442
CDKAL1,0.0019094105776395,8.038681268297059e-05
BRD10,0.0019068216923062,8.224206706979438e-05
MCCC2,0.001906098230093,0.0003570577926394
SFTPA1,0.0019011399504534,0.0002268586539077
ADNP,0.0018993713766648,0.0002880599492668
NEUROD2,0.0018944603669212,0.0004307796262573
DAD1,0.0018912250310312,0.0001487904228783
UBE2T,0.0018847849126568,0.0002626150281465
LTB,0.0018791143934351,0.0002101019881539
CTU1,0.0018779093020072,8.768452443739329e-05
SUPT7L,0.0018667304158373,0.0002512768989889
TRIR,0.001861549685412,0.0001917214892557
SH3D21,0.0018545203179647,0.0002350701023051
CCAR2,0.001847985973277,0.0002315661617858
PIK3CG,0.0018459167079611,0.0002367803827558
PPP6C,0.0018440530463416,0.0003315673723053
CD2BP2,0.001843429300896,0.0001655670320592
SACM1L,0.001841305242282,0.0002102420891821
MANF,0.0018392424333135,0.000188170260227
CYTH4,0.0018381240346898,0.0001609391583729
TAPBP,0.0018375151023154,0.0002175218178018
TMEM254,0.0018359605159157,4.377503210342296e-05
MORN1,0.0018322761628585,0.0002986493340748
SLC66A1,0.0018299388984206,0.0001740445997098
TUBE1,0.0018296863732673,9.24851729811957e-05
RBM18,0.0018269129556614,0.0002759090278249
NCBP3,0.0018121999996246,0.0002448555928878
HEXD,0.0018035231730046,0.0001830717682721
RIPK1,0.0018008698027418,0.0001427619033021
PARP14,0.0017949636348845,2.552155039592559e-05
OTUB1,0.0017940289444919,0.0001738520866544
