gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
DTL,3.629243547601271,1.3766357829917997,0.3793175533512155,0.0204108206251112,5.103625988808751,0.5678538045362587
RBX1,3.619411116711928,0.3488368686328026,0.0963794543875151,0.0210940279760746,2.898621263434708,2.149086253800104
GOLIM4,3.614881679154813,0.9670080091102498,0.2675075133680015,0.0211138756292284,2.510694957950403,2.678902489967157
PSME2,3.6147845613441976,0.3538248566731614,0.0978826955434344,0.0211138756292284,3.593652884552077,1.4261449276835676
ZNF607,3.613673903674468,2.5880659595723627,0.7161869135288486,,1.99920774108397,2.8175399668694463
BRCA2,3.6135104618168423,1.2550606226184526,0.3473244746017474,0.0211138756292284,2.80819769879714,2.232715575736157
LGALS1,3.612643196501853,0.990459777624128,0.2741648493222904,0.0211138756292284,1.5873030695839307,4.684652076987322
FEN1,3.602892488916963,1.164542276892904,0.3232242650801294,0.0216756230844147,4.428610940815869,0.9971956527496422
HMMR,3.6016821958942384,1.662292930439733,0.4615323729380329,0.0216756230844147,3.1854984366364643,2.058267003581193
PCNA,3.600296941943,0.6111256610505345,0.1697431269990534,0.0216756230844147,3.3779308771850576,1.6651429700639442
DIAPH3,3.5998279896311427,1.970397076376926,0.5473586743734451,0.0216756230844147,3.793431844392805,1.426254553721174
MDH2,3.597982282521997,0.356231054536843,0.0990085627345401,0.0216756230844147,4.544765887202512,1.020427130305819
CDK1,3.5978725345571068,1.5334587525009509,0.4262126403234897,0.0216756230844147,2.698452972911425,2.3763863759890573
WARS,3.5960027589567,0.5679420721356252,0.1579370512775693,0.0216756230844147,3.768884782066957,1.2472651826600831
MSMO1,3.5945155957486583,0.8229443100634989,0.228944426068653,0.0216756230844147,2.4198187724816136,2.898425646323963
TYMS,3.59444171691996,1.1794573343616737,0.3281336650444672,0.0216756230844147,4.177466478987438,1.0329326508596868
IDH2,3.5916187869596814,0.5464815796022313,0.1521546723127679,0.0217502321371681,4.154014763952955,1.3911762171765556
TSPAN13,3.589999563660258,1.9341936864729152,0.5387726801005145,0.0217502321371681,2.7014453661533344,2.467291289674153
FAM111B,3.58314333357066,2.068437117580884,0.5772688740083565,0.0221091058926756,4.572205525300833,1.1977524733733385
CDCA4,3.578313988185553,0.7017729418225128,0.1961183239200199,0.022392784365751,3.1502157027130937,1.7315637287903638
UBE2L3,3.577392717484189,0.3730113015323783,0.1042690392109646,0.022392784365751,2.520096187145071,2.654548235233874
PLEK,3.575381743216867,0.878334132334807,0.2456616371108239,0.0224621130513564,2.4941637541652275,2.9547143758832397
CCNB1,3.556962451829845,1.2588987279649888,0.353925222718435,0.0235871489209387,4.029508844547316,0.9541657539877514
GBP5,3.5566207034492296,0.5204911069275329,0.1463442830501317,0.0235871489209387,1.268057599646918,4.847375084238661
ATP5I,3.5471635405380115,0.5054602384036737,0.1424970212472945,0.0240217358955567,2.9405730105806103,1.953189966692904
RP11-638I2.10,3.5460657373258098,1.0457391071458453,0.2949012185923172,0.0240217358955567,2.7922402131365214,2.115925434160874
FABP5,3.5459804345159367,0.8044339755985762,0.2268579848237064,0.0240217358955567,3.376185849853023,1.7106369011183546
TTK,3.544175273810464,2.0670021493088058,0.5832110405438559,0.0240811976384168,4.398030255218186,0.8684552570478186
BLVRA,3.54093097000225,0.6328895821260171,0.1787353629561479,0.024134056317364,3.1085571726546086,2.148801252307026
CENPW,3.540119778952702,2.0614014188662524,0.5822970824665404,0.024134056317364,3.2121626017719915,1.801869223647042
BUB1B,3.539028639482613,1.494860976897577,0.4223930149138655,0.024134056317364,3.207240275709255,1.9526077331692215
TMEM167A,3.5356562308556123,0.5348803541718539,0.1512817760686013,0.0241983788309933,3.9561881184748073,1.2077002774519197
ATP5G3,3.53560749303115,0.3066036680541457,0.0867188081987257,0.0241983788309933,2.9563670452371373,1.8821390525876256
HINT2,3.534946800202878,0.6095133814010159,0.1724250507436306,0.0241983788309933,3.654354619773888,1.4544632274649196
AP2S1,3.533298355987029,0.4954731154633295,0.1402296283934728,0.024203829485098,3.70132361852465,1.3299166434507927
CENPN,3.532146003599372,0.8473035909301084,0.2398835127615558,0.024203829485098,2.7297717060569537,2.198861997995795
DSCC1,3.526422858636749,2.133739702390421,0.6050719916258954,0.0244723500495925,3.4007663332464384,1.5375130552934917
CIT,3.51992031875474,1.5199087436035024,0.4318020312860969,0.0249765860103604,3.2582708254228536,1.516619711411565
RNASEH2A,3.512416919841644,0.8780572530656267,0.2499866254787354,0.0252495671226715,3.6732744359247897,0.970483471897572
PLEKHA5,3.510464287910584,1.030790075017996,0.2936335454452148,0.0252495671226715,2.070071487126512,2.888367196001337
PSMC1P1,3.5097699498464747,0.4540582779884159,0.129369811832903,0.0252495671226715,2.2462881870787705,2.403129349569274
IFI30,3.5097607286051185,0.9003500567597146,0.2565274747710622,0.0252495671226715,1.6430697729205108,3.806781459568842
SKA3,3.5084937088949477,1.5912178441129374,0.4535330475522259,0.0252495671226715,3.2166800166798133,1.645253743525426
KIF2C,3.50839407247984,1.502484246892116,0.4282541287701225,0.0252495671226715,3.598651291677996,1.4011464369130966
TMEM189,3.498663401337328,0.5883575999151407,0.1681663916826772,0.0259812930605623,3.036346176570792,1.7036247470261778
DCAF12,3.496395334717583,0.637029239914177,0.1821959987158123,0.0260684138198522,3.3670138306575383,1.285669169274975
COX17,3.4956616314512186,0.3933971922833046,0.1125386933174039,0.0260684138198522,2.5548300389825047,2.2078983495558995
GMNN,3.4933176629695124,0.8650247051752282,0.2476226866926008,0.0261494886965063,3.5047555681002778,1.4513961032505511
MXD3,3.4920043857180016,0.8170643391128712,0.2339814756403498,0.0261494886965063,2.5287931907044228,2.5855584398862512
YIF1B,3.4850705636535886,0.5742964291690417,0.1647876043482389,0.026539872033659,2.610789043854339,2.5782621624991124
ATP5C1,3.480968222181656,0.2254604022697784,0.0647694514512039,0.0268025512284069,3.2448840145240685,1.5313729769491649
C2orf48,3.477162407698075,1.9154869866853987,0.5508764797539253,,3.072124702457999,1.5177666943926975
MTND4P14,3.473780051294653,3.3746272408128584,0.9714567966256696,,1.531879874121174,3.070917862207352
ASNA1,3.469806127488261,0.4839908485346266,0.1394864239533118,0.0275196979047859,4.342853344856396,0.9354573271795912
JAGN1,3.466141510601891,0.667915962894215,0.1926972574118107,0.0277581478814946,3.177933251618484,1.639074685146004
RNF26,3.4582423045564217,0.8692283803859863,0.2513497620570805,0.0284069306300681,3.4672060355665746,1.3487000491994945
CIITA,3.4420329777646943,0.7680152025715934,0.2231283684766883,0.02983096955145,2.1292548505637323,2.7369528690373457
MAD2L1,3.440168859627052,0.8886376924206194,0.2583122307888562,0.0299267708089698,2.778744851878893,2.2008536828750427
MRPL28,3.437554883028671,0.5093076192271152,0.1481598509864045,0.0301064413104485,3.417328692548808,1.5395405614597448
C7orf73,3.426172950525693,0.4608810278403282,0.1345177358223008,0.0312452455935442,3.5319438481750662,1.396983361180266
ADPRH,3.425504738329918,1.191912693372455,0.3479524287429724,0.0312452455935442,2.14261840728774,3.0434090685204085
ASL,3.4223820406799126,0.5557127522416913,0.1623760134421725,0.0312694805297782,3.823326862334528,1.145860372187961
VAMP5,3.421369115511244,0.5051217825298222,0.1476373245551857,0.0312694805297782,1.2748779800366572,3.792606158879994
RBCK1,3.418532347812415,0.4066255348148032,0.1189474000662918,0.0314844139223115,2.000251518907943,3.1136410307924915
UBE2C,3.4171266023443545,2.04318086446375,0.5979236657670234,0.0315348171314855,3.381065210202786,1.3791104496834887
FABP5P7,3.41278167888666,0.9630653660821148,0.2821936639077048,0.0319282514379779,3.4112755283751914,1.4893859174617536
NUP85,3.408657091656388,0.4387882144585622,0.1287275905612844,0.0320736617371665,3.316541995452991,1.3561757818669342
UBE2T,3.4060783576655287,0.9823803290792958,0.2884197678155013,0.0320812627846681,3.286092449199391,1.5624348198939706
CDCA8,3.4044430332098568,1.6891759428301705,0.4961680739999171,0.0320812627846681,3.2737240813727886,1.4747757486399469
CENPE,3.4026463777978218,1.1184630466771688,0.3287038741301802,0.0320812627846681,3.696240237178456,1.0810992157223842
LINC00152,3.400131888235669,0.4047557514372861,0.1190411915601645,0.032090346423141,1.5022116648745536,3.9811274066843207
CCL4L2,3.400023338396045,0.8637321773603281,0.2540371319238627,0.032090346423141,1.469724238214862,4.792571938454885
ETV7,3.3973011744814965,1.0305519823911038,0.3033443105168292,0.0323014378826016,2.0334557088533387,3.2521102090265392
RP1-152L7.5,3.392636836329297,2.7552061066669045,0.812113479746312,,2.285022009583115,2.7741376623452783
GPKOW,3.392538201444496,0.4967541832486457,0.1464255238267132,0.0327572415524327,2.4953359746521837,2.126942704098721
CX3CR1,3.378567596181077,1.2424143041784697,0.3677340378161495,0.0337830782060677,0.8269667271183276,4.6655834897359885
CAPRIN1,3.374215850586209,0.3350860496595704,0.0993078286919182,0.0340959279391324,2.949486905823266,1.5814764894287416
LAP3,3.3675807900166888,0.4522954573922596,0.1343087176210012,0.0346060057982902,2.700821438514016,1.9241242657379896
MIEN1,3.361735805043755,0.5789722940610743,0.1722242102405601,0.0349843095355698,2.6388626149185286,2.690444921346524
